file1,file2,loc_diff,loc_sum,loc_ratio,import_jaccard,import_overlap,import_diff_count,node_cosine,node_hist_l1,node_hist_l2,node_unique_diff,node_total_diff,node_total_ratio,node_diff_Name,node_diff_Load,node_diff_Constant,node_diff_Call,node_diff_Store,node_diff_BinOp,node_diff_Add,node_diff_Assign,node_diff_arg,node_diff_arguments,node_diff_Return,node_diff_FunctionDef,node_diff_Compare,node_diff_AugAssign,node_diff_Eq,node_diff_Module,node_diff_Expr,node_diff_alias,node_diff_Mod,node_diff_Import,subtree_jaccard,subtree_overlap,subtree_diff_count,canonical_similarity,canonical_length_diff,canonical_length_ratio,func_count_diff,func_count_ratio,avg_func_args_diff,avg_func_args_ratio,avg_cc_diff,avg_cc_ratio,max_cc_diff,ident_jaccard,ident_overlap,ident_diff_count,ident_diff_i,ident_diff_rst,ident_diff_ttl,ident_diff_n,ident_diff_print,ident_diff_ft,ident_diff_range,ident_diff_math,ident_diff_result,ident_diff_total,ident_diff_sum,ident_diff_j,ident_diff_factorial_sum,ident_diff_x,ident_diff_factorial,ident_diff_even_factorial,ident_diff_map,ident_diff_process,ident_diff_reduce,ident_total_diff,ident_total_ratio,label
my_code.json,my_code2.json,1.0,27.0,0.9285714285714286,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.4545454545454545,5.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
my_code.json,my_code3.json,5.0,23.0,0.6428571428571429,1.0,1.0,0.0,0.9690188158837494,18.0,5.830951894845301,0.0,10.0,0.8461538461538461,3.0,0.0,1.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5671641791044776,67.0,0.6666666666666666,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.4545454545454545,5.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.8,0
my_code.json,my_code4.json,0.0,28.0,1.0,1.0,1.0,0.0,0.989336566131033,10.0,3.1622776601683795,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6578947368421053,22.0,0.8905472636815921,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3636363636363636,4.0,1.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
my_code.json,my_code5.json,5.0,33.0,0.7368421052631579,0.0,0.0,1.0,0.992431832308787,30.0,9.486832980505138,2.0,24.0,0.7303370786516854,7.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.285097192224622,61.0,0.767175572519084,1.0,0.5,0.0,1.0,0.5,0.8333333333333334,0.0,0.3571428571428571,5.0,3.0,0.0,2.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,0.6818181818181818,0
my_code.json,my_code6.json,1.0,29.0,0.9333333333333332,1.0,1.0,0.0,0.9886123743864004,13.0,3.872983346207417,0.0,5.0,0.9285714285714286,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6106870229007634,9.0,0.9552238805970148,1.0,0.5,0.0,1.0,1.0,0.6666666666666666,1.0,0.4166666666666667,5.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9375,0
my_code.json,my_code7.json,3.0,25.0,0.7857142857142857,1.0,1.0,0.0,0.9511918954860836,23.0,6.708203932499369,2.0,5.0,0.9230769230769232,2.0,2.0,1.0,2.0,4.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.628099173553719,39.0,0.8059701492537313,1.0,0.5,0.0,1.0,2.0,0.3333333333333333,2.0,0.3846153846153846,5.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.8666666666666667,0
my_code.json,my_code8.json,3.0,25.0,0.7857142857142857,1.0,1.0,0.0,0.9528866892400868,20.0,6.928203230275509,0.0,8.0,0.8769230769230769,4.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6175637393767706,49.0,0.7562189054726368,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3,3.0,3.0,4.0,2.0,0.0,4.0,0.0,2.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.7333333333333333,0
my_code.json,my_code9.json,4.0,24.0,0.7142857142857143,0.5,1.0,1.0,0.951305177199794,23.0,6.708203932499369,0.0,3.0,0.953846153846154,3.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.5132275132275133,24.0,0.8805970149253731,0.0,1.0,0.0,1.0,1.0,0.6666666666666666,1.0,0.4166666666666667,5.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.8,0
my_code2.json,my_code3.json,4.0,22.0,0.6923076923076923,1.0,1.0,0.0,0.9690188158837494,18.0,5.830951894845301,0.0,10.0,0.8461538461538461,3.0,0.0,1.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5671641791044776,67.0,0.6666666666666666,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7777777777777778,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.8,0
my_code2.json,my_code4.json,1.0,27.0,0.9285714285714286,1.0,1.0,0.0,0.989336566131033,10.0,3.1622776601683795,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6578947368421053,22.0,0.8905472636815921,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.875,7.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
my_code2.json,my_code5.json,6.0,32.0,0.6842105263157895,0.0,0.0,1.0,0.992431832308787,30.0,9.486832980505138,2.0,24.0,0.7303370786516854,7.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.285097192224622,61.0,0.767175572519084,1.0,0.5,0.0,1.0,0.5,0.8333333333333334,0.0,0.5833333333333334,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,0.6818181818181818,0
my_code2.json,my_code6.json,2.0,28.0,0.8666666666666667,1.0,1.0,0.0,0.9886123743864004,13.0,3.872983346207417,0.0,5.0,0.9285714285714286,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6106870229007634,9.0,0.9552238805970148,1.0,0.5,0.0,1.0,1.0,0.6666666666666666,1.0,0.8888888888888888,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9375,0
my_code2.json,my_code7.json,2.0,24.0,0.8461538461538461,1.0,1.0,0.0,0.9511918954860836,23.0,6.708203932499369,2.0,5.0,0.9230769230769232,2.0,2.0,1.0,2.0,4.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.628099173553719,39.0,0.8059701492537313,1.0,0.5,0.0,1.0,2.0,0.3333333333333333,2.0,0.6363636363636364,7.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.8666666666666667,0
my_code2.json,my_code8.json,2.0,24.0,0.8461538461538461,1.0,1.0,0.0,0.9528866892400868,20.0,6.928203230275509,0.0,8.0,0.8769230769230769,4.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6175637393767706,49.0,0.7562189054726368,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.625,5.0,3.0,4.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.7333333333333333,0
my_code2.json,my_code9.json,3.0,23.0,0.7692307692307693,0.5,1.0,1.0,0.951305177199794,23.0,6.708203932499369,0.0,3.0,0.953846153846154,3.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.5132275132275133,24.0,0.8805970149253731,0.0,1.0,0.0,1.0,1.0,0.6666666666666666,1.0,0.8888888888888888,8.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.8,0
my_code3.json,my_code4.json,5.0,23.0,0.6428571428571429,1.0,1.0,0.0,0.9628742368263888,20.0,6.164414002968976,1.0,10.0,0.8461538461538461,3.0,0.0,1.0,2.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6773162939297125,45.0,0.7486033519553073,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666666,6.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.8,0
my_code3.json,my_code5.json,10.0,28.0,0.4736842105263157,0.0,0.0,1.0,0.9493145732154008,46.0,14.142135623730953,2.0,34.0,0.6179775280898876,10.0,3.0,4.0,0.0,6.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.2323232323232323,128.0,0.5114503816793893,1.0,0.5,0.0,1.0,0.5,0.8333333333333334,0.0,0.4615384615384615,6.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,0.5454545454545454,0
my_code3.json,my_code6.json,6.0,24.0,0.6,1.0,1.0,0.0,0.9864630360458384,19.0,5.916079783099616,0.0,15.0,0.7857142857142857,4.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.7607361963190185,58.0,0.6979166666666666,1.0,0.5,0.0,1.0,1.0,0.6666666666666666,1.0,0.7,7.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.75,1
my_code3.json,my_code7.json,2.0,20.0,0.8181818181818182,1.0,1.0,0.0,0.9901475429766744,11.0,3.605551275463989,2.0,5.0,0.9166666666666666,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7837837837837838,28.0,0.8271604938271605,1.0,0.5,0.0,1.0,2.0,0.3333333333333333,2.0,0.8,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.9230769230769232,1
my_code3.json,my_code8.json,2.0,20.0,0.8181818181818182,1.0,1.0,0.0,0.9827742316193412,12.0,3.4641016151377544,0.0,2.0,0.9649122807017544,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7482517482517482,18.0,0.881578947368421,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.625,5.0,3.0,4.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9166666666666666,1
my_code3.json,my_code9.json,1.0,19.0,0.9,0.5,1.0,1.0,0.9827823190059648,13.0,3.872983346207417,0.0,7.0,0.8870967741935484,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7395498392282959,43.0,0.7570621468926554,0.0,1.0,0.0,1.0,1.0,0.6666666666666666,1.0,0.7,7.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
my_code4.json,my_code5.json,5.0,33.0,0.7368421052631579,0.0,0.0,1.0,0.9821671947567668,38.0,10.295630140987,3.0,24.0,0.7303370786516854,7.0,3.0,3.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.1723356009070294,83.0,0.683206106870229,1.0,0.5,0.0,1.0,0.5,0.8333333333333334,0.0,0.5,6.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,0.6818181818181818,0
my_code4.json,my_code6.json,1.0,29.0,0.9333333333333332,1.0,1.0,0.0,0.9831486491142588,17.0,4.58257569495584,1.0,5.0,0.9285714285714286,1.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6522911051212938,13.0,0.9322916666666666,1.0,0.5,0.0,1.0,1.0,0.6666666666666666,1.0,0.7777777777777778,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9375,0
my_code4.json,my_code7.json,3.0,25.0,0.7857142857142857,1.0,1.0,0.0,0.944074262289963,25.0,7.14142842854285,3.0,5.0,0.9230769230769232,2.0,2.0,1.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6862170087976539,17.0,0.905027932960894,1.0,0.5,0.0,1.0,2.0,0.3333333333333333,2.0,0.5454545454545454,6.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.8666666666666667,0
